,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,Product category,Year,Notification type,Risk,Notified by,Action taken,Distribution status,Risk decision,Country of origin
,,,,,"nuts, nut products and seeds",22/2/2017,alert,company's own check,Germany,return to consignor,distribution restricted to notifying country,serious,Nigeria
,,,,,"nuts, nut products and seeds",24/3/2017,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",28/3/2017,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",7/4/2017,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",7/4/2017,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",7/4/2017,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",27/6/2017,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",9/8/2017,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",18/9/2017,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",6/11/2017,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",15/11/2017,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",22/12/2017,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",3/1/2018,border rejection,border control - consignment detained,Netherlands,informing consignor,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",16/3/2018,border rejection,border control - consignment detained,Netherlands,informing consignor,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",19/3/2018,border rejection,border control - consignment detained,Germany,re-dispatch,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",20/3/2018,border rejection,border control - consignment detained,Germany,re-dispatch,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",20/3/2018,border rejection,border control - consignment detained,Germany,re-dispatch,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",21/3/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",4/5/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",17/5/2018,border rejection,border control - consignment detained,Poland,official detention,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",18/5/2018,border rejection,border control - consignment detained,Cyprus,re-dispatch,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",24/5/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",29/5/2018,border rejection,border control - consignment detained,Netherlands,informing consignor,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",30/5/2018,border rejection,border control - consignment detained,Netherlands,informing consignor,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",31/5/2018,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",13/6/2018,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",13/6/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",20/6/2018,border rejection,border control - consignment detained,Poland,official detention,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",20/6/2018,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",26/6/2018,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",5/7/2018,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",12/7/2018,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",12/7/2018,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",13/7/2018,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",16/7/2018,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",16/7/2018,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",17/7/2018,border rejection,border control - consignment detained,Germany,re-dispatch,product not (yet) placed on the market,serious,Nigeria
,,,,,"nuts, nut products and seeds",6/8/2018,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Nigeria
